"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-06-01" ,"15"          ,"Southland Region"         ,"117"          ,"1503"         ,"108"          ,"100"         ,"99"                  ,"120"                 ,"86"                  ,"0.25"
"1993-06-01" ,"16"          ,"Tasman Region"            ,"27"           ,"327"          ,"21"           ,"145"         ,"138"                 ,"178"                 ,"120"                 ,"0.31"
"1993-06-01" ,"17"          ,"Nelson Region"            ,"111"          ,"1284"         ,"102"          ,"160"         ,"150"                 ,"180"                 ,"130"                 ,"0.29"
"1993-06-01" ,"18"          ,"Marlborough Region"       ,"51"           ,"732"          ,"48"           ,"130"         ,"129"                 ,"145"                 ,"120"                 ,"0.18"
"1993-07-01" ,"-99"         ,"ALL"                      ,"8,037"        ,"101433"       ,"6,732"        ,"150"         ,"153"                 ,"190"                 ,"120"                 ,"0.38"
"1993-07-01" ,"-1"          ,"NA"                       ,"510"          ,"6501"         ,"453"          ,"130"         ,"128"                 ,"160"                 ,"100"                 ,"0.42"
"1993-07-01" ,"1"           ,"Northland Region"         ,"171"          ,"1968"         ,"141"          ,"120"         ,"120"                 ,"145"                 ,"100"                 ,"0.28"
"1993-07-01" ,"2"           ,"Auckland Region"          ,"2,505"        ,"32352"        ,"2,010"        ,"190"         ,"193"                 ,"235"                 ,"150"                 ,"0.35"
"1993-07-01" ,"3"           ,"Waikato Region"           ,"723"          ,"9102"         ,"636"          ,"130"         ,"129"                 ,"160"                 ,"100"                 ,"0.30"
"1993-07-01" ,"4"           ,"Bay of Plenty Region"     ,"498"          ,"5265"         ,"444"          ,"140"         ,"136"                 ,"160"                 ,"120"                 ,"0.28"
"1993-07-01" ,"5"           ,"Gisborne Region"          ,"69"           ,"828"          ,"63"           ,"125"         ,"126"                 ,"140"                 ,"110"                 ,"0.22"
"1993-07-01" ,"6"           ,"Hawke's Bay Region"       ,"270"          ,"3060"         ,"243"          ,"140"         ,"135"                 ,"160"                 ,"120"                 ,"0.26"
"1993-07-01" ,"7"           ,"Taranaki Region"          ,"234"          ,"2490"         ,"213"          ,"130"         ,"127"                 ,"160"                 ,"100"                 ,"0.33"
"1993-07-01" ,"8"           ,"Manawatu-Wanganui Region" ,"465"          ,"6003"         ,"390"          ,"130"         ,"131"                 ,"160"                 ,"110"                 ,"0.33"
"1993-07-01" ,"9"           ,"Wellington Region"        ,"918"          ,"12471"        ,"744"          ,"165"         ,"167"                 ,"210"                 ,"130"                 ,"0.36"
"1993-07-01" ,"12"          ,"West Coast Region"        ,"33"           ,"456"          ,"30"           ,"120"         ,"115"                 ,"140"                 ,"110"                 ,"0.24"
"1993-07-01" ,"13"          ,"Canterbury Region"        ,"918"          ,"11595"        ,"753"          ,"150"         ,"143"                 ,"180"                 ,"120"                 ,"0.33"
"1993-07-01" ,"14"          ,"Otago Region"             ,"369"          ,"5418"         ,"330"          ,"135"         ,"134"                 ,"160"                 ,"110"                 ,"0.35"
"1993-07-01" ,"15"          ,"Southland Region"         ,"126"          ,"1527"         ,"102"          ,"110"         ,"100"                 ,"120"                 ,"90"                  ,"0.29"
"1993-07-01" ,"16"          ,"Tasman Region"            ,"30"           ,"324"          ,"33"           ,"150"         ,"140"                 ,"170"                 ,"120"                 ,"0.24"
"1993-07-01" ,"17"          ,"Nelson Region"            ,"126"          ,"1308"         ,"102"          ,"145"         ,"141"                 ,"174"                 ,"120"                 ,"0.33"
"1993-07-01" ,"18"          ,"Marlborough Region"       ,"72"           ,"759"          ,"48"           ,"130"         ,"130"                 ,"150"                 ,"120"                 ,"0.19"
"1993-08-01" ,"-99"         ,"ALL"                      ,"7,629"        ,"102333"       ,"6,729"        ,"150"         ,"152"                 ,"185"                 ,"120"                 ,"0.37"
"1993-08-01" ,"-1"          ,"NA"                       ,"462"          ,"6519"         ,"444"          ,"130"         ,"129"                 ,"160"                 ,"100"                 ,"0.43"
"1993-08-01" ,"1"           ,"Northland Region"         ,"159"          ,"1989"         ,"135"          ,"120"         ,"119"                 ,"140"                 ,"100"                 ,"0.27"
"1993-08-01" ,"2"           ,"Auckland Region"          ,"2,301"        ,"32631"        ,"2,019"        ,"185"         ,"190"                 ,"230"                 ,"155"                 ,"0.34"
"1993-08-01" ,"3"           ,"Waikato Region"           ,"735"          ,"9192"         ,"648"          ,"130"         ,"130"                 ,"165"                 ,"110"                 ,"0.31"
"1993-08-01" ,"4"           ,"Bay of Plenty Region"     ,"522"          ,"5358"         ,"429"          ,"145"         ,"139"                 ,"165"                 ,"120"                 ,"0.25"
"1993-08-01" ,"5"           ,"Gisborne Region"          ,"69"           ,"852"          ,"48"           ,"130"         ,"126"                 ,"150"                 ,"110"                 ,"0.22"
"1993-08-01" ,"6"           ,"Hawke's Bay Region"       ,"282"          ,"3105"         ,"237"          ,"145"         ,"140"                 ,"165"                 ,"130"                 ,"0.24"
"1993-08-01" ,"7"           ,"Taranaki Region"          ,"228"          ,"2499"         ,"222"          ,"130"         ,"130"                 ,"160"                 ,"110"                 ,"0.32"
"1993-08-01" ,"8"           ,"Manawatu-Wanganui Region" ,"435"          ,"6039"         ,"399"          ,"130"         ,"128"                 ,"150"                 ,"110"                 ,"0.30"
"1993-08-01" ,"9"           ,"Wellington Region"        ,"846"          ,"12588"        ,"726"          ,"170"         ,"170"                 ,"210"                 ,"135"                 ,"0.37"
"1993-08-01" ,"12"          ,"West Coast Region"        ,"21"           ,"453"          ,"24"           ,"100"         ,"101"                 ,"130"                 ,"78"                  ,"0.31"
"1993-08-01" ,"13"          ,"Canterbury Region"        ,"885"          ,"11709"        ,"771"          ,"140"         ,"141"                 ,"175"                 ,"120"                 ,"0.33"
"1993-08-01" ,"14"          ,"Otago Region"             ,"306"          ,"5430"         ,"297"          ,"130"         ,"127"                 ,"160"                 ,"103"                 ,"0.37"
"1993-08-01" ,"15"          ,"Southland Region"         ,"117"          ,"1533"         ,"111"          ,"100"         ,"100"                 ,"120"                 ,"81"                  ,"0.29"
"1993-08-01" ,"16"          ,"Tasman Region"            ,"33"           ,"336"          ,"18"           ,"150"         ,"147"                 ,"173"                 ,"139"                 ,"0.26"
"1993-08-01" ,"17"          ,"Nelson Region"            ,"138"          ,"1311"         ,"135"          ,"153"         ,"150"                 ,"174"                 ,"135"                 ,"0.21"
"1993-08-01" ,"18"          ,"Marlborough Region"       ,"87"           ,"783"          ,"63"           ,"130"         ,"127"                 ,"150"                 ,"113"                 ,"0.22"
